"","CellID","Cell","singler","excluded"
"422","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_H01.out.bam","1284_1_5_H01","MBC",FALSE
"423","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_H02.out.bam","1284_1_5_H02","PB",FALSE
"424","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_H04.out.bam","1284_1_5_H04","Undefined",TRUE
"425","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_H05.out.bam","1284_1_5_H05","MBC",FALSE
"426","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_H06.out.bam","1284_1_5_H06","MBC",FALSE
"427","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_I01.out.bam","1284_1_5_I01","MBC",FALSE
"428","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_I04.out.bam","1284_1_5_I04","MBC",FALSE
"429","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_I05.out.bam","1284_1_5_I05","MBC",FALSE
"430","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_I06.out.bam","1284_1_5_I06","MBC",FALSE
"431","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_J01.out.bam","1284_1_5_J01","MBC",FALSE
"432","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_J03.out.bam","1284_1_5_J03","Undefined",TRUE
"433","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_J05.out.bam","1284_1_5_J05","PB",FALSE
"434","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_J06.out.bam","1284_1_5_J06","MBC",FALSE
"435","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_K02.out.bam","1284_1_5_K02","MBC",FALSE
"436","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_K03.out.bam","1284_1_5_K03","MBC",FALSE
"437","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_K04.out.bam","1284_1_5_K04","MBC",FALSE
"438","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_K05.out.bam","1284_1_5_K05","MBC",FALSE
"439","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_K06.out.bam","1284_1_5_K06","prePB",FALSE
"440","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_L02.out.bam","1284_1_5_L02","Undefined",TRUE
"441","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_L05.out.bam","1284_1_5_L05","Undefined",TRUE
"442","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_M03.out.bam","1284_1_5_M03","prePB",FALSE
"443","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_M04.out.bam","1284_1_5_M04","MBC",FALSE
"444","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_M05.out.bam","1284_1_5_M05","MBC",FALSE
"445","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_M06.out.bam","1284_1_5_M06","prePB",FALSE
"446","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_N01.out.bam","1284_1_5_N01","MBC",FALSE
"447","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_N03.out.bam","1284_1_5_N03","PB",FALSE
"448","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_N04.out.bam","1284_1_5_N04","PC",FALSE
"449","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_N06.out.bam","1284_1_5_N06","MBC",FALSE
"450","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_O01.out.bam","1284_1_5_O01","MBC",FALSE
"451","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_O03.out.bam","1284_1_5_O03","PB",FALSE
"452","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_O04.out.bam","1284_1_5_O04","MBC",FALSE
"453","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_O05.out.bam","1284_1_5_O05","PB",FALSE
"454","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_P01.out.bam","1284_1_5_P01","prePB",FALSE
"455","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_P03.out.bam","1284_1_5_P03","MBC",FALSE
"456","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_P04.out.bam","1284_1_5_P04","prePB",FALSE
"457","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_5_P05.out.bam","1284_1_5_P05","PB",FALSE
"458","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_A02.out.bam","1284_1_6_A02","PB",FALSE
"459","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_A03.out.bam","1284_1_6_A03","MBC",FALSE
"460","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_A04.out.bam","1284_1_6_A04","PC",FALSE
"461","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_A05.out.bam","1284_1_6_A05","PB",FALSE
"462","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_B01.out.bam","1284_1_6_B01","MBC",FALSE
"463","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_B02.out.bam","1284_1_6_B02","MBC",FALSE
"464","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_B03.out.bam","1284_1_6_B03","MBC",FALSE
"465","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_B04.out.bam","1284_1_6_B04","MBC",FALSE
"466","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_B05.out.bam","1284_1_6_B05","MBC",FALSE
"467","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_C01.out.bam","1284_1_6_C01","MBC",FALSE
"468","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_C02.out.bam","1284_1_6_C02","PC",FALSE
"469","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_C03.out.bam","1284_1_6_C03","MBC",FALSE
"470","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_C04.out.bam","1284_1_6_C04","PC",FALSE
"471","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_C05.out.bam","1284_1_6_C05","MBC",FALSE
"472","onefilepercell_JR1284_1_1_A12_and_others_O2FQT:JR1284_1_6_D01.out.bam","1284_1_6_D01","MBC",FALSE
