CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N12.out.bam,1173485,91486,1173485.0,964209.9,0.05303973,280.39,0.30929791927337646,0.9294354,1.0,0.2298898884359366,0.5142408609390259
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N13.out.bam,1202144,87069,1202144.0,964072.25,0.06285107,274.49,0.12629014253616333,0.9179638,0.9145949944152992,0.11206433581531731,0.7251753211021423
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N14.out.bam,543312,56739,543312.0,988828.25,0.16183084,335.96,0.6766813397407532,0.8213048,0.35096571952367783,0.09233513742426584,0.07684231549501419
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_N15.out.bam,523109,304065,523109.0,919836.4,0.80383074,447.81,0.13371720910072327,0.1514499,0.03134205614415955,0.2397169460141445,0.34917497634887695
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O02.out.bam,1096094,90764,1096094.0,901055.4,0.18661088,174.61,0.22595958411693573,0.7989035,0.928463313884459,0.09738459178262623,0.054028548300266266
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O03.out.bam,1223237,65103,1223237.0,973476.3,0.40538192,218.65,0.8122502565383911,0.60785294,0.15197457806051554,1.0,0.882697343826294
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O04.out.bam,748890,56417,748890.0,997776.75,0.013613343,813.26,0.9894987344741821,0.96472657,0.34277879951764445,0.06363094117456883,0.10894718766212463
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O06.out.bam,516665,42293,516665.0,995424.3,0.017228544,518.32,0.6947847604751587,0.9592435,0.46686017739312613,0.09555294085328898,0.09960184246301651
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O08.out.bam,774793,74911,774793.0,958506.7,0.10208446,278.86,0.0,0.88431007,0.5756638187119728,0.13355050727273654,0.044113487005233765
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O09.out.bam,1309825,106245,1309825.0,978356.75,0.39596397,209.34,0.8100140690803528,0.6206217,0.05012362226109741,0.9448146888656583,0.4657832682132721
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O11.out.bam,818369,96741,818369.0,889009.8,0.0,1545.09,0.9092186093330383,0.987008,0.6216524700472429,0.19250389854198882,0.1004253476858139
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O13.out.bam,539866,195185,539866.0,942740.44,0.6511241,479.95,0.36499568819999695,0.25412363,0.17073605513765125,0.2425940298747433,0.3637198507785797
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O15.out.bam,1170049,6262,1170049.0,897199.75,0.52344275,366.25,0.6698761582374573,0.55152863,0.30701654354702884,0.22736933250270994,0.2130495011806488
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_O16.out.bam,467360,31663,467360.0,979979.4,0.045511484,315.27,0.6410305500030518,0.9271569,0.3410097976740691,0.2818093720466941,0.0903860479593277
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P03.out.bam,912747,68952,912747.0,968002.75,0.09318471,219.13,0.3291268050670624,0.8490267,0.5568758772935093,0.3018184859687751,0.17092935740947723
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P04.out.bam,636818,146733,636818.0,944791.94,0.58914995,411.49,0.3006114661693573,0.28847262,0.019563665457149812,0.21198538018439533,0.42464983463287354
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P05.out.bam,1205059,68128,1205059.0,960226.5,0.43181258,221.76,0.8360905051231384,0.66343904,0.049106741164276484,1.0,0.8878391981124878
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P06.out.bam,740939,52611,740939.0,979177.0,0.28019637,162.81,0.6819031238555908,0.65404844,0.3261481737136663,0.14035447312697288,0.08074988424777985
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P07.out.bam,765476,130020,765476.0,971717.94,0.46261144,484.53,0.36215633153915405,0.50135696,0.09949125062577595,0.30357625377456926,0.42572861909866333
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P10.out.bam,861261,233315,861261.0,977439.1,0.36890894,542.42,0.45347756147384644,0.6362975,0.016737436303590442,0.17699382227396904,0.4373215436935425
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P11.out.bam,575947,58679,575947.0,956869.8,0.0040504336,817.61,0.8740532398223877,0.97154135,0.3054773634124709,0.08623813454253437,0.07830042392015457
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P12.out.bam,974495,69255,974495.0,984026.56,0.01472044,746.21,0.9257881045341492,0.9659663,0.3539625217647255,0.05614811484315966,0.267974317073822
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P14.out.bam,478276,64906,478276.0,975123.56,0.009398043,896.31,0.9104601144790649,0.9726188,0.5681803665412354,0.05427821627570128,0.09916339069604874
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P15.out.bam,1213799,83010,1213799.0,947400.44,0.046699405,534.21,0.818843424320221,0.9092598,0.19006466427654722,0.41409690885566014,0.477363646030426
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_P16.out.bam,740294,58473,740294.0,991698.8,0.015022874,730.04,0.9621686339378357,0.9624283,0.3701103715815644,0.20695218347645944,0.13793949782848358
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_1_G19.out.bam,1018931,62149,1018931.0,959502.44,0.00476563,934.83,0.9855459332466125,0.9788309,0.34374566240982696,0.015000157811753425,0.07787005603313446
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_1_H05.out.bam,1410645,246715,1410645.0,943888.6,0.5967021,477.6,0.22555722296237946,0.26856667,0.02689292742062426,0.4356178313547568,0.4132298529148102
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_1_J08.out.bam,1524625,250826,1524625.0,949380.94,0.33539635,572.14,0.5345759391784668,0.6095527,0.09949238809262356,0.3235791770802536,0.3300700783729553
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_1_K05.out.bam,803409,176837,803409.0,953364.8,0.545467,583.86,0.5285439491271973,0.45745203,0.037109815643410586,0.3634271100272526,0.4291988015174866
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_1_M19.out.bam,1280157,64989,1280157.0,942515.5,0.5891516,192.56,0.31748461723327637,0.28533208,0.23698550130799173,0.17244388821218068,0.0606059692800045
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_1_N02.out.bam,1426142,81423,1426142.0,968174.25,0.0028416514,891.72,0.8949258327484131,0.97856766,0.4114723563471291,0.04364397896207987,0.07508447021245956
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_A04.out.bam,1389844,32486,1389844.0,937933.56,0.12759924,291.99,0.0,0.8516532,0.48601599858270367,0.2874499757776319,0.6041497588157654
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_A05.out.bam,1853363,146272,1853363.0,997460.56,0.82656926,330.98,0.2685953378677368,0.03412743,0.010209653383969258,0.5195777342887035,0.437094122171402
