CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,louvain,S_score,G2M_score,phase,clusters_gradients,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I05.out.bam,961870,72842,961870.0,969860.44,0.09190518,1,-2.116227865219116,-2.306631326675415,G1,S_score,628.1,0.8353391885757446,0.8947025,0.37284402298662694,0.15049972727336466,0.04898207262158394
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I06.out.bam,1033460,51726,1033460.0,946695.44,0.04590118,2,2.7441773414611816,6.433912754058838,G2M,G2M_score,187.42,0.40452107787132263,0.94091755,0.7135661613103248,0.20113790257144376,0.023469533771276474
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I07.out.bam,1540966,91912,1540966.0,944903.56,0.37307215,2,-0.5338473320007324,0.0,G2M,S_score,109.93,0.33827775716781616,0.5633385,0.4452225067433172,0.2047786455285371,0.040251657366752625
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I08.out.bam,829865,60624,829865.0,864306.9,0.45397598,2,0.0,5.455957412719727,G2M,G2M_score,167.64,0.08130273222923279,0.5400908,0.4996154945467317,0.38207660843577923,0.14306530356407166
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I09.out.bam,954084,129320,954084.0,951050.9,0.03428626,1,0.0,-3.493476390838623,S,S_score,630.7,0.7350637912750244,0.9469556,0.47042070752796833,0.0233258838031862,0.030515694990754128
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I10.out.bam,1274406,62834,1274406.0,941848.3,0.3369468,2,2.8715052604675293,1.5056445598602295,S,S_score,90.87,0.177322119474411,0.5453417,0.17308699748247078,0.5108649953805489,0.035531412810087204
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I11.out.bam,1780195,112344,1780195.0,959630.4,0.079283714,2,2.7486186027526855,3.875248432159424,G2M,G2M_score,211.16,0.2481411248445511,0.91956896,0.2810680073944876,0.3922572187583443,0.029691297560930252
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I12.out.bam,1020451,67889,1020451.0,900467.3,0.16627038,1,0.36261215806007385,0.0,S,S_score,170.65,0.10328325629234314,0.77055645,0.7794160194690255,0.18486390943022316,0.01572447083890438
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I13.out.bam,619987,52152,619987.0,950351.1,0.084885776,1,0.0,-3.8412554264068604,S,S_score,611.4,0.6646818518638611,0.863697,0.5326935742160318,0.01827584890340875,0.03162729740142822
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I14.out.bam,1376136,83563,1376136.0,949642.6,0.46387124,1,0.0,0.0,S,S_score,342.44,0.6669052839279175,0.43512368,0.18394753492171267,0.3820938010261335,0.02807348221540451
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_2_I15.out.bam,1717363,217925,1717363.0,928303.06,0.6797092,0,0.0,0.0,S,S_score,530.31,0.5435388088226318,0.27679145,4.704303815085874e-05,0.6267269519988761,0.9897356033325195
