"","FSC-A","FSC-H","SSC-A","SSC-H","CD20","CD56","CD45","CD38","CD138","CD4_IgD","CD14_7AAD","CD19","CD16","CD8","CD3","CD27","TIME","CD4","IgD","Plate","Index","Cell","Cell_type"
"JR1284_1_CSF_all.fcs.2629",336507.28125,279217.6875,74881.2109375,45548.16015625,0.0975445540636302,0.726523626192156,4.96204915393861,2.55753419922822,-0.294798891390108,5.45110296219695,0.795549959540471,0.937350181724208,0.0667273313464405,-1.04145198584011,2.77892231712769,1.54876322025955,129.165863037109,5.45110296219695,-0.13426426281457,3,"K7","1284_1_3_K07","CD4T"
"JR1284_1_CSF_all.fcs.2654",251810.34375,225568.5625,74178.03125,44506.55859375,0.385894333584647,0.548279424905001,4.09644477580069,-1.06238224514413,-0.301329951264817,4.84855732992865,-0.992914131728486,0.77506794475774,-0.542018010706716,0.575007530011193,2.94325297054326,3.29841698804961,130.458694458008,4.84855732992865,0.152753807908477,3,"L7","1284_1_3_L07","CD4T"
"JR1284_1_CSF_all.fcs.2671",277954.6875,263396.5625,48715.83203125,31713.919921875,0.37190342293885,-0.0278199176556027,4.59356319133582,-0.481245398582116,0.387738122227777,0.688547959135688,0.0850521694937608,0.964522631538355,-0.669457591120311,1.47006065288376,2.44476163934046,1.73973867454741,131.430206298828,0.688547959135688,-0.714449594289964,3,"M7","1284_1_3_M07","CD4T"
"JR1284_1_CSF_all.fcs.2693",287818.28125,264158.171875,59426.84765625,38647.83984375,-0.0663793862759937,0.261170427694903,4.56367059936824,-0.174075182398206,0.655263726139616,5.12116556039124,1.48265092708571,0.067496908873967,0.152398916091502,1.03728161806634,2.98875557374219,3.30561150736459,132.61116027832,5.12116556039124,-0.0886783450235275,3,"N7","1284_1_3_N07","CD4T"
"JR1284_1_CSF_all.fcs.2720",284527.5,251700.40625,93122.984375,52184.16015625,-0.169115261416543,1.25033216535081,4.79114787559474,0.875433560443582,0.461231742147822,4.95268183624438,1.58244572079813,-0.413403624941191,-0.365825276817697,1.33231448756514,2.4378398416081,-1.05573681429259,134.293426513672,4.95268183624438,0.123889310494083,3,"O7","1284_1_3_O07","CD4T"
"JR1284_1_CSF_all.fcs.2740",227757.5,206014.484375,99049.421875,60849.6015625,-0.583290375186058,-0.982402794871762,5.25941287720312,-1.34366667049507,-1.45941653161384,0.303955811671825,0.838337328001957,-0.424526394855579,-0.846380108181147,6.73854646448277,3.56265191014836,1.67187490361745,135.545516967773,0.303955811671825,-0.0139550169704362,3,"P7","1284_1_3_P07","CD8T"
"JR1284_1_CSF_all.fcs.2760",243378.421875,223345.359375,83887.390625,53249.28125,0.00020524116635914,0.424349313971345,4.68573111980263,-0.89723726574024,0.149441446954158,4.88963289962921,0.0532056066077737,-0.0360194046737515,-0.138919696890893,0.116946706046297,3.22484020666931,2.43781611953876,136.745681762695,4.88963289962921,-0.260942730445605,3,"P8","1284_1_3_P08","CD4T"
"JR1284_1_CSF_all.fcs.2780",306011.59375,264121.203125,65633.3203125,40022.08203125,0.366902640568495,-0.0306266315842679,4.94125140874439,0.440112125562898,0.0348305155046439,1.53383391890762,-0.223205806748159,0.178266900528595,-1.67236015786407,6.85477544963639,2.89342435821616,0.845381679316637,138.061401367188,1.53383391890762,0.166896039551059,3,"O8","1284_1_3_O08","CD8T"
"JR1284_1_CSF_all.fcs.2794",249178.90625,229984.71875,59454.6875,38980.48046875,-0.507714108636736,-0.81811903960849,4.58218694199996,1.48030855322109,-0.950622763970791,5.07677572279574,0.929801081153667,-0.574047086376869,0.0857283907369427,0.564514783359103,3.03195329362485,1.3933812827812,139.100570678711,5.07677572279574,0.692236700521994,3,"N8","1284_1_3_N08","CD4T"
"JR1284_1_CSF_all.fcs.2809",275612.9375,230785.53125,67132.96875,39752.16015625,0.59382268313837,0.677635071608486,4.23262102279755,-0.210516045978458,-0.0929960758835766,4.68423252584983,-0.364488631060494,0.869351499233219,-0.206955101813388,0.845550009087178,2.58524102862648,2.09878624675292,139.994567871094,4.68423252584983,-0.608472948495235,3,"M8","1284_1_3_M08","CD4T"
