"","x"
"714_ANAPC4",0.32699966586922
"715_KCNQ1",NA
"716_TRAPPC3",0.343794176701825
"717_THRAP3",0.449085021950212
"718_PHPT1",0.545813731982047
"719_ENTPD2",NA
"720_LY75",0.158352111138864
"721_ARID4B",0.251313402514335
"722_OPN3",0.199878280784104
"723_SDCCAG8",0.632728305198953
"724_PTPRN",NA
"725_KIF1B",0.0105534348305921
"726_FOXC1",NA
"727_TBC1D22A",0.401652808760387
"728_SYNE2",0.638848736485532
"729_PLEKHH1",0.801362396995352
"730_ATP9A",0.677500208989774
"731_SPO11",NA
"732_CBLN4",NA
"733_CHRDL2",NA
"734_FAM168A",0.729657764643239
"735_RELT",0.24024110574123
"736_GALC",0.533457243003592
"737_NOP58",0.959318951743407
"738_SZRD1",0.383175847421516
"739_KCNH2",NA
"740_CUL1",0.217121839437786
"741_FAM114A2",0.532462522248053
"742_CYFIP2",0.242184206980416
"743_TAB2",0.400282027223091
"744_GINM1",0.94501329028034
"745_EIF2AK2",0.530808788542685
"746_USP36",0.327438712700929
"747_KMT2C",0.255739191024247
"748_MCOLN3",0.591860508040308
"749_CCDC85A",NA
"750_PUM2",0.0813872980556406
"751_MRPL43",0.254635230207885
"752_ITIH4",0.858301880005083
"753_ITIH1",NA
"754_HPF1",0.139977703576171
"755_ZFR",0.685654448213668
"756_ZNF280C",0.893902157953498
"757_NPFFR2",0.984465626792687
"758_PHF21B",NA
"759_TRAF1",0.298580827184866
"760_RC3H2",0.357952899557066
"761_IL17RB",0.21138959697012
"762_TRAF3IP2",0.98798120727731
"763_GYG2",0.591860508040308
"764_DCBLD2",0.202513134842739
"765_SERPINB3",NA
"766_SOAT1",0.108878201169554
"767_PKP2",0.108915676284492
"768_MSH4",NA
"769_F7",NA
"770_GDI2",0.132475244127717
"771_PRDM1",0.137021470549339
"772_ATG5",0.623756400359673
"773_TMCC3",0.54304008767831
"774_PITHD1",0.805808029965104
"775_MTA3",0.926301476649267
"776_USP13",0.594145385135246
"777_ATP11B",0.834640885974839
"778_LAMC2",0.745347207423462
"779_CDK14",0.322493875042582
"780_SEC61A1",0.699120779568009
"781_PPP1R12A",0.428308776399157
"782_RASGRF1",0.0234569464242513
"783_CAMK2B",NA
"784_CROCC",0.832850530202264
"785_POLR3E",0.507337030414618
"786_ATP2B4",0.943661033634645
"787_ZC3H11A",0.822055614843118
"788_RIOK2",0.350565951644772
"789_YIPF1",0.695103281528973
"790_NDC1",0.992713425142674
"791_DGKG",0.591860508040308
"792_FLYWCH1",0.0205876852816298
"793_UNKL",0.435313007854691
"794_TBXAS1",0.0392964277635404
"795_PARP12",0.856088334767637
"796_ALDH18A1",0.47571407429744
"797_TARBP1",0.0680123623204384
"798_GATB",0.676031315266281
"799_MXD1",0.180072689228179
"800_CDK17",0.233367311326127
"801_DNAJC25",0.749000827384615
"802_SLC2A3",0.00367390717794213
"803_PSD",0.0487774497308769
"804_CTDP1",0.499228457516627
"805_YBX3",0.915219505764382
"806_STYK1",NA
"807_WNK1",0.724467003657931
"808_CCAR1",0.0622237976572189
"809_OGFR",0.449706815158932
"810_GNA15",0.591860508040308
"811_CREB3L3",NA
"812_PIGV",0.577218378602652
"813_PTPRU",0.591860508040308
"814_SNRNP40",0.32053437360636
"815_RIMBP2",NA
"816_COL11A1",NA
"817_QSER1",0.119595835966555
"818_MPC1",0.28161611063883
"819_ACAA1",0.335008683590738
"820_BCAT1",0.354722031949708
"821_HDAC7",0.625698647926024
"822_LZTS1",0.33881136432274
"823_PRDM6",NA
"824_WNT8A",NA
"825_SPAG4",0.521217137269903
"826_NCKAP1",0.910308292385798
"827_MRPS35",0.103642396793454
"828_GUCY1B1",NA
"829_SFSWAP",0.0832553336441664
"830_TNK2",0.205202436061411
"831_MON2",0.112958606821335
"832_CDH3",0.68200504118165
"833_ARSF",0.0739149364780842
"834_GPBP1",0.349159684525853
"835_DGAT2",0.960806033100772
"836_ZNF112",NA
"837_CS",0.406664523255194
"838_LTK",0.677500208989774
"839_MRPS24",0.498156742610524
"840_ELMO2",0.0480324613907591
"841_WAPL",0.0142954179072656
"842_VMP1",0.57072214087225
"843_APPBP2",0.593497399439435
"844_POLD1",0.955553146835515
"845_SEZ6",0.591860508040308
"846_EIF4B",0.609123910858826
"847_SLC6A16",0.439053397621579
"848_BICRA",NA
"849_SPHK2",0.317723866236451
"850_RPL18",0.699118539589309
"851_CA11",0.5339119693762
"852_ISOC2",0.611927614955578
"853_U2AF2",0.749520857916265
"854_EPN1",0.593003656680855
"855_MED29",0.249070130587553
"856_AHRR",NA
"857_GSC2",NA
"858_ZNF275",0.213976445091054
"859_MTMR1",0.0564513853067518
"860_GPC1",0.708189273481787
"861_ADCK1",0.28390170295723
"862_HAGH",0.447432657605299
"863_RNF4",0.0441442934863846
"864_CASP8",0.0182682583894737
"865_LIMCH1",NA
"866_INTS13",0.191212335537415
"867_TM7SF3",0.972619861327176
"868_DLX3",NA
"869_SPA17",0.771596005496899
"870_TSPAN32",0.266253520083925
