CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,louvain,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F11.out.bam,1440005,178120,1440005.0,910094.44,0.27702796,1,2474.11,0.782528281211853,0.71592444,0.0,0.013926079484512839,0.19414138793945312
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F12.out.bam,1188193,58207,1188193.0,964573.56,0.16626823,1,3154.52,0.991980791091919,0.82762367,0.0,0.0036698582071700843,0.23373794555664062
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F13.out.bam,1049555,44094,1049555.0,952599.9,0.6147311,2,3781.9,0.9980663061141968,0.07534703,0.0,0.00020497354591307674,0.08662909269332886
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F14.out.bam,1081563,358843,1081563.0,932076.44,0.52136105,0,791.43,0.2816915512084961,0.21788995,0.0,0.041134460077339424,0.8128653168678284
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F15.out.bam,1029621,59465,1029621.0,955479.4,0.25908613,2,4096.4,0.9935075044631958,0.5668679,0.0,0.0017407058840489696,0.20129472017288208
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G02.out.bam,1022941,98221,1022941.0,967722.75,0.26682454,1,4226.55,0.9932701587677002,0.46892,0.0,0.011574031301796095,0.23515033721923828
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G03.out.bam,1724586,87115,1724586.0,964179.3,0.68552315,2,4330.08,0.9973291158676147,0.029975006,0.0,4.416858984573358e-05,0.06082963943481445
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G04.out.bam,1460742,91252,1460742.0,886229.4,0.05437851,1,2819.88,0.9936252236366272,0.75582564,0.0,0.006119918504958527,0.20138496160507202
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G05.out.bam,1161066,74632,1161066.0,913661.5,0.20464092,1,4436.83,0.9874237179756165,0.5236262,0.0,0.005806053582741051,0.18556219339370728
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G06.out.bam,1343762,62527,1343762.0,901032.06,0.29218024,2,3384.4,0.9922630786895752,0.39560315,0.0,0.0005370682659517831,0.10960954427719116
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G07.out.bam,1515211,79751,1515211.0,938036.9,0.3557517,2,4438.42,0.9973723292350769,0.5089579,0.0,0.00024052738788430636,0.11686432361602783
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G08.out.bam,1503017,75448,1503017.0,942919.6,0.3215623,2,2269.4,0.9982234239578247,0.4393266,0.0,5.810509099551069e-08,0.02946162223815918
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G09.out.bam,2027064,100292,2027064.0,952826.44,0.52815497,2,3170.58,0.9979961514472961,0.15719253,0.0,1.3279061900709428e-07,0.050432801246643066
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G10.out.bam,1096177,103256,1096177.0,978788.9,0.28371423,1,2580.9,0.990511953830719,0.43078265,0.0,0.008173462331182187,0.26743584871292114
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G11.out.bam,1851951,100206,1851951.0,930684.0,0.34417492,2,3891.02,0.9933257102966309,0.4759751,0.0,0.00021307546877716519,0.09188961982727051
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G12.out.bam,1251350,80649,1251350.0,931257.5,0.20719391,2,4945.56,0.998073399066925,0.5874836,0.0,0.001102778276463418,0.05922633409500122
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G13.out.bam,1032099,49166,1032099.0,931315.7,0.3591697,2,3780.24,0.9965813755989075,0.45878482,0.0,0.00021899364411161526,0.12769150733947754
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G14.out.bam,1193049,58741,1193049.0,946571.0,0.58979535,2,3682.85,0.9971535205841064,0.057747588,0.0,0.0002965410005920325,0.0675133466720581
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_G15.out.bam,845117,128225,845117.0,976358.1,0.56077695,1,3736.46,0.9248073101043701,0.063419804,0.0,0.010704048720405637,0.25344377756118774
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H02.out.bam,1496092,59694,1496092.0,951689.0,0.48875678,2,3695.2,0.9986224174499512,0.41667637,0.0,3.235230611469454e-05,0.11410492658615112
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H03.out.bam,1568859,116783,1568859.0,963478.6,0.5740131,2,3971.23,0.9970823526382446,0.10037584,0.0,0.0002344972026092773,0.030128538608551025
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H05.out.bam,922007,64872,922007.0,979970.94,0.3111496,1,5898.7,0.9939500093460083,0.21817048,0.0,0.006457507153841721,0.26397114992141724
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H06.out.bam,991637,44653,991637.0,969271.06,0.37231454,2,3419.65,0.9984775185585022,0.49209347,0.0,3.383094117262295e-05,0.10511714220046997
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H07.out.bam,1089447,56860,1089447.0,953308.0,0.3990728,2,3616.95,0.9960182309150696,0.23194866,0.0,7.970977418964581e-05,0.052538931369781494
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H08.out.bam,1392335,51811,1392335.0,902503.2,0.4826455,2,3732.59,0.9982079267501831,0.12269635,0.0,2.0857691261005116e-05,0.09984606504440308
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H09.out.bam,1507392,106900,1507392.0,964924.4,0.22379088,1,3488.54,0.9909889101982117,0.68751997,0.0,0.002938377229229069,0.20943403244018555
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H10.out.bam,909420,104278,909420.0,921973.9,0.53613317,1,3270.58,0.9944224953651428,0.22041142,0.0,0.006388447479214699,0.20255047082901
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H11.out.bam,691882,71825,691882.0,817912.0,0.10023129,1,4525.12,0.9309732913970947,0.72659606,0.0,0.017088352524308393,0.30597108602523804
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H12.out.bam,632882,50551,632882.0,943823.94,0.29975396,1,4160.18,0.9921262264251709,0.3483474,0.0,0.00649268578654597,0.25763338804244995
