"","CellID","initial_size_spliced","initial_size_unspliced","initial_size","n_counts","velocity_self_transition","louvain","root_cells","end_points","velocity_pseudotime","latent_time","S_score","G2M_score","phase","velocity_length","velocity_confidence","velocity_confidence_transition","Cell","singler","excluded"
"43","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C03.out.bam",2217365,297010,2217365,993088,0.29914317,0,0,0.134818583535414,0.98736560344696,0.940356577930412,-0.122391828964386,-0.45646225353619,"G1",1308,0.859957601607543,0.128089796788632,"1166_1_2_C03","MBC",FALSE
"44","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C04.out.bam",1940240,139345,1940240,977104.25,0.3813348,3,0,5.86068220547943e-05,0.125111877918243,0.00390900658462783,2.86441712778149,1.17282316362536,"S",8994.51,0.964961456570473,0.0262089482036788,"1166_1_2_C04","PB",FALSE
"45","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C05.out.bam",1335758,120454,1335758,950117.2,0.40394643,3,0,0.000208002249230283,0.0307358503341675,0.0155913571269506,3.10052593830836,1.75268180434768,"S",8916.41,0.840668600673076,-0.0110843199575587,"1166_1_2_C05","PB",FALSE
"46","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C06.out.bam",1129301,76039,1129301,958881.4,0.21561372,1,0,0.000943255594643006,0.210126519203186,0.161580014162033,0.599193890676849,-0.530582859709456,"S",4638.79,0.88330815329028,0.194638773355113,"1166_1_2_C06","PB",FALSE
"47","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C07.out.bam",1277425,114198,1277425,970713.94,0.32887897,1,0,0.00110446185948044,0.32555103302002,0.259140113150814,-1.00425856041669,-1.0058099368671,"G1",4339.6,0.952403066018822,0.137960296951543,"1166_1_2_C07","PB",FALSE
"48","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C08.out.bam",1213185,74879,1213185,945083.44,0.26925543,1,0,0.00100535764350732,0.254364490509033,0.20334797120414,-0.989018698599825,-1.55820652472006,"G1",4413.78,0.879027658443818,0.151395297607006,"1166_1_2_C08","PC",FALSE
"49","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C09.out.bam",1715232,59035,1715232,966503.6,0.41808614,3,0,3.58953440464258e-05,0.115168690681458,0.0237711134857654,1.07730676019471,1.39332622321876,"G2M",8921.98,0.987588856175911,0.0358740755355806,"1166_1_2_C09","PB",FALSE
"50","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C10.out.bam",1648074,187590,1648074,932845.3,0.21225065,0,0,0.113948337915847,0.994306147098541,0.926339379664537,-0.298520403004012,-0.422253373292115,"G1",1316.93,0.852939299432018,0.207621530139046,"1166_1_2_C10","MBC",FALSE
"51","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C11.out.bam",1205410,66905,1205410,851692.25,0.21968132,3,0,0.000305548894505846,0.107965886592865,0.0469611516359589,0.697963359284162,2.2253947146304,"G2M",5689.61,0.727609708933989,0.19848333448383,"1166_1_2_C11","PB",FALSE
"52","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C12.out.bam",1479187,144954,1479187,969382.25,0.34349704,3,0,0.000236251944051015,0.20122903585434,0.0202710669507458,1.48441573688418,-1.06909365525117,"S",5458.34,0.686345792412095,0.0147569682405885,"1166_1_2_C12","prePB",FALSE
