"","logFCCohen","FDRcorrMannW","topVals","topNames"
"AGPAT4",0.185295804379398,0.968658944276057,"FALSE",NA
"SLAMF7",0.375738206459151,0.870713000150445,"FALSE",NA
"BTN3A1",0.0657793562178528,0.974699735235089,"FALSE",NA
"MIPEP",-0.249766863258521,0.968658944276057,"FALSE",NA
"PRKCH",-0.282842712474619,0.870713000150445,"FALSE",NA
"INSRR",0,NA,"FALSE",NA
"IFNGR1",-0.174395348502575,0.968658944276057,"FALSE",NA
"B4GALT7",-0.262643134510105,0.968658944276057,"FALSE",NA
"SH2D2A",-0.103061948533497,0.995137446572239,"FALSE",NA
"VRK2",0.200514903061678,0.968658944276057,"FALSE",NA
"TNFRSF1B",-0.123929376201023,0.968658944276057,"FALSE",NA
"VEZT",-0.649162354712676,0.870713000150445,"FALSE",NA
"POU2F2",-0.320060248977759,0.968658944276057,"FALSE",NA
"BRD9",0.331385731951021,0.968658944276057,"FALSE",NA
"SNX1",-0.237289322054921,0.968658944276057,"FALSE",NA
"TBPL1",0.0650905909391683,0.974699735235089,"FALSE",NA
"ARNTL2",0.169676299573422,0.968658944276057,"FALSE",NA
"BCLAF1",0.210963985599284,0.978389558281616,"FALSE",NA
